CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
117	11846	664305	1.75	676151
118	11726	649398	1.77	661124
119	11566	638660	1.78	650226
120	11571	628028	1.81	639599
121	11281	616973	1.80	628254
122	11193	600771	1.83	611964
123	11025	598848	1.81	609873
124	10710	577934	1.82	588644
125	10609	570990	1.82	581599
126	10523	558473	1.85	568996
127	10273	554217	1.82	564490
128	10181	539533	1.85	549714
129	9894	534975	1.82	544869
130	9920	516597	1.88	526517
131	9607	506146	1.86	515753
132	9536	501793	1.86	511329
133	9389	495977	1.86	505366
134	9235	481811	1.88	491046
135	9072	470852	1.89	479924
136	8750	463406	1.85	472156
137	8731	458106	1.87	466837
138	8505	446818	1.87	455323
139	8348	437927	1.87	446275
140	8156	423345	1.89	431501
141	7926	418592	1.86	426518
142	7785	410810	1.86	418595
143	7349	397028	1.82	404377
144	7428	394269	1.85	401697
145	7077	387442	1.79	394519
146	7042	382501	1.81	389543
147	6775	374602	1.78	381377
148	7266	366097	1.95	373363
149	7413	361508	2.01	368921
150	7239	354920	2.00	362159

CHH context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	701155	2837406	19.81	3538561
2	561790	3698480	13.19	4260270
3	428239	3496456	10.91	3924695
4	437614	3321327	11.64	3758941
5	235963	4101845	5.44	4337808
6	177096	4618963	3.69	4796059
7	165118	5342547	3.00	5507665
8	163873	5268880	3.02	5432753
9	134763	4974152	2.64	5108915
10	125378	4867496	2.51	4992874
11	133827	4768786	2.73	4902613
12	121570	4749558	2.50	4871128
13	120485	4827340	2.44	4947825
14	110231	4754202	2.27	4864433
15	121749	4684141	2.53	4805890
16	122791	4646479	2.57	4769270
17	114456	4599873	2.43	4714329
18	104761	4681920	2.19	4786681
19	114884	4715653	2.38	4830537
20	106244	4767809	2.18	4874053
21	112446	4651689	2.36	4764135
22	99307	4695466	2.07	4794773
23	109988	4728616	2.27	4838604
24	98516	4695730	2.05	4794246
25	106842	4770731	2.19	4877573
26	98239	4772669	2.02	4870908
27	103403	4765012	2.12	4868415
28	97858	4843154	1.98	4941012
29	103490	4868695	2.08	4972185
30	93272	4833110	1.89	4926382
31	100667	4853514	2.03	4954181
32	97105	4827834	1.97	4924939
33	95765	4833961	1.94	4929726
34	92112	4867520	1.86	4959632
35	95878	4831652	1.95	4927530
36	88184	4829322	1.79	4917506
37	95040	4861093	1.92	4956133
38	88404	4848201	1.79	4936605
39	94700	4828827	1.92	4923527
40	86662	4821015	1.77	4907677
41	91939	4928522	1.83	5020461
42	82634	4826978	1.68	4909612
43	93889	4834625	1.91	4928514
44	84530	4853706	1.71	4938236
45	91069	4857494	1.84	4948563
46	83992	4858142	1.70	4942134
47	90657	4851528	1.83	4942185
48	83736	4785265	1.72	4869001
49	88522	4819385	1.80	4907907
50	85145	4817274	1.74	4902419
51	88847	4782625	1.82	4871472
52	83306	4732398	1.73	4815704
53	85606	4721402	1.78	4807008
54	83824	4661800	1.77	4745624
55	84667	4642312	1.79	4726979
56	84065	4638204	1.78	4722269
57	84292	4585630	1.80	4669922
58	82540	4603796	1.76	4686336
59	87262	4596365	1.86	4683627
60	80156	4493075	1.75	4573231
61	83606	4486237	1.83	4569843
62	80529	4496678	1.76	4577207
63	81888	4375330	1.84	4457218
64	78949	4343305	1.79	4422254
65	83721	4300012	1.91	4383733
66	75179	4263205	1.73	4338384
67	82800	4276909	1.90	4359709
68	77686	4187863	1.82	4265549
69	79378	4188538	1.86	4267916
70	77915	4149529	1.84	4227444
71	79865	4082649	1.92	4162514
72	76385	4029979	1.86	4106364
73	78046	4018191	1.91	4096237
74	75776	4017015	1.85	4092791
75	75237	3914575	1.89	3989812
76	76215	3868065	1.93	3944280
77	74000	3837250	1.89	3911250
78	74097	3827761	1.90	3901858
79	74675	3773995	1.94	3848670
80	72461	3701202	1.92	3773663
81	72767	3654690	1.95	3727457
82	71084	3628527	1.92	3699611
83	72501	3531193	2.01	3603694
84	68943	3470783	1.95	3539726
85	69589	3422702	1.99	3492291
86	67424	3391614	1.95	3459038
87	69754	3330935	2.05	3400689
88	65241	3312444	1.93	3377685
89	69119	3270074	2.07	3339193
90	64580	3182862	1.99	3247442
91	66913	3157436	2.08	3224349
92	65337	3115875	2.05	3181212
93	64316	3060940	2.06	3125256
94	64016	3033845	2.07	3097861
95	63892	2989274	2.09	3053166
96	61001	2967980	2.01	3028981
97	61431	2920844	2.06	2982275
98	62245	2825830	2.16	2888075
99	59202	2770187	2.09	2829389
100	59926	2729148	2.15	2789074
101	58994	2689775	2.15	2748769
102	57187	2661036	2.10	2718223
103	58634	2642241	2.17	2700875
104	56530	2585859	2.14	2642389
105	56336	2563666	2.15	2620002
106	54612	2487532	2.15	2542144
107	54185	2429992	2.18	2484177
108	51996	2411127	2.11	2463123
109	54541	2348524	2.27	2403065
110	51092	2312211	2.16	2363303
111	52353	2303320	2.22	2355673
112	50394	2241426	2.20	2291820
113	50664	2189322	2.26	2239986
114	48966	2162935	2.21	2211901
115	48921	2123196	2.25	2172117
116	48555	2075211	2.29	2123766
117	47250	2036952	2.27	2084202
118	46010	1994122	2.26	2040132
119	46048	1959809	2.30	2005857
120	46073	1919145	2.34	1965218
121	43549	1882172	2.26	1925721
122	44524	1851318	2.35	1895842
123	42508	1809357	2.30	1851865
124	42712	1776397	2.35	1819109
125	42643	1746020	2.38	1788663
126	40161	1708831	2.30	1748992
127	40728	1683088	2.36	1723816
128	39068	1644664	2.32	1683732
129	38321	1612883	2.32	1651204
130	37390	1581349	2.31	1618739
